address,type,animal,cell,aff,KT,passive,badtrial,trimdatacheck,amp,IBA,DRA,SRA,DI,restRate,peakifr,meanifr,spikect,triIB,trisc1,trisc2,trimifr1,trimifr2,kMTU,kFas,FasExc
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp42.mat,ramp,A18042-19-10,2,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp43.mat,ramp,A18042-19-10,2,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp44.mat,ramp,A18042-19-10,2,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp45.mat,sine,A18042-19-10,2,,T,0,0,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp46.mat,sine,A18042-19-10,2,,T,0,0,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp47.mat,sine,A18042-19-10,2,,T,0,0,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp48.mat,ramp,A18042-19-10,3,,A,0,0,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp49.mat,ramp,A18042-19-10,3,,A,0,0,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp5.mat,triangle,A18042-19-10,1,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp50.mat,ramp,A18042-19-10,3,,A,1,0,NaN,8,262.60504201734,187.969924812619,129.39958592156,58.5703388910588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp51.mat,ramp,A18042-19-10,3,,A,0,0,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp52.mat,NA,A18042-19-10,3,,T,0,0,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp53.mat,NA,A18042-19-10,3,,T,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp54.mat,triangle,A18042-19-10,3,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp55.mat,ramp,A18042-19-10,3,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp56.mat,ramp,A18042-19-10,3,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp57.mat,ramp,A18042-19-10,3,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
